,Unnamed: 0,Unnamed: 0.1,url,schedule,venue,teamA,teamB,teamA_score,teamB_score,winner_Team,winner_score,venue_location,winner_location
142,142,142,https://www.skysports.com/football/southampton-vs-leeds-united/446366,"3:00pm, Saturday 16th October 2021.",St. Mary's Stadium,So'ton,Leeds,1,0,So'ton,1,"Britannia Rd, Southampton, England","Britannia Rd, Southampton, England"
143,143,143,https://www.skysports.com/football/brentford-vs-chelsea/446360,"5:30pm, Saturday 16th October 2021.",Brentford Community Stadium,Brentford,Chelsea,0,1,Chelsea,1,"166 Lionel Road North, Brentford, London Borough of Hounslow, England, UK","Fulham,
London, SW6
England"
144,144,144,https://www.skysports.com/football/crystal-palace-vs-leicester-city/446351,"2:00pm, Sunday 3rd October 2021.",Selhurst Park,C Palace,Leicester,2,2,Leicester,2,"Selhurst
London, SE25
England",
145,145,145,https://www.skysports.com/football/tottenham-hotspur-vs-aston-villa/446355,"2:00pm, Sunday 3rd October 2021.",Tottenham Hotspur Stadium,Tottenham,A Villa,2,1,Tottenham,2,"Tottenham,
London, N17","Tottenham,
London, N17"
146,146,146,https://www.skysports.com/football/west-ham-united-vs-brentford/446356,"2:00pm, Sunday 3rd October 2021.",London Stadium,West Ham,Brentford,1,2,Brentford,2,"Queen Elizabeth Olympic Park, Stratford
London, E20","166 Lionel Road North, Brentford, London Borough of Hounslow, England, UK"
147,147,147,https://www.skysports.com/football/liverpool-vs-manchester-city/446353,"4:30pm, Sunday 3rd October 2021.",Anfield,Liverpool,Man City,2,2,Man City,2,"Anfield, Liverpool, Merseyside, England","Etihad Campus
Manchester
M11 3FF"
148,148,148,https://www.skysports.com/football/manchester-united-vs-everton/446354,"12:30pm, Saturday 2nd October 2021.",Old Trafford,Man Utd,Everton,1,1,Everton,1,"Sir Matt Busby Way
Old Trafford
Trafford
Greater Manchester
England","Goodison Road
Walton, Liverpool, England"
149,149,149,https://www.skysports.com/football/burnley-vs-norwich-city/446349,"3:00pm, Saturday 2nd October 2021.",Turf Moor,Burnley,Norwich,0,0,Norwich,0,"Burnley, Lancashire, England","Norwich, Norfolk, England"
150,150,150,https://www.skysports.com/football/chelsea-vs-southampton/446350,"3:00pm, Saturday 2nd October 2021.",Stamford Bridge,Chelsea,So'ton,3,1,Chelsea,3,"Fulham,
London, SW6
England","Fulham,
London, SW6
England"
151,151,151,https://www.skysports.com/football/leeds-united-vs-watford/446352,"3:00pm, Saturday 2nd October 2021.",Elland Road,Leeds,Watford,1,0,Leeds,1,"Elland Road, Beeston, Leeds, England LS11 0ES","Elland Road, Beeston, Leeds, England LS11 0ES"
152,152,152,https://www.skysports.com/football/wolverhampton-wanderers-vs-newcastle-united/446357,"3:00pm, Saturday 2nd October 2021.",Molineux,Wolves,Newcastle,2,1,Wolves,2,"Waterloo Road, Wolverhampton","Waterloo Road, Wolverhampton"
153,153,153,https://www.skysports.com/football/brighton-and-hove-albion-vs-arsenal/446348,"5:30pm, Saturday 2nd October 2021.",Amex Stadium,Brighton,Arsenal,0,0,Arsenal,0,"Falmer, Brighton, East Sussex, England","Highbury House,
75 Drayton Park,
London, N5 1BU
England[1]"
154,154,154,https://www.skysports.com/football/crystal-palace-vs-brighton-and-hove-albion/446341,"8:00pm, Monday 27th September 2021.",Selhurst Park,C Palace,Brighton,1,1,Brighton,1,"Selhurst
London, SE25
England","Falmer, Brighton, East Sussex, England"
155,155,155,https://www.skysports.com/football/southampton-vs-wolverhampton-wanderers/446346,"2:00pm, Sunday 26th September 2021.",St. Mary's Stadium,So'ton,Wolves,0,1,Wolves,1,"Britannia Rd, Southampton, England","Waterloo Road, Wolverhampton"
156,156,156,https://www.skysports.com/football/arsenal-vs-tottenham-hotspur/446338,"4:30pm, Sunday 26th September 2021.",Emirates Stadium,Arsenal,Tottenham,3,1,Arsenal,3,"Highbury House,
75 Drayton Park,
London, N5 1BU
England[1]","Highbury House,
75 Drayton Park,
London, N5 1BU
England[1]"
157,157,157,https://www.skysports.com/football/chelsea-vs-manchester-city/446340,"12:30pm, Saturday 25th September 2021.",Stamford Bridge,Chelsea,Man City,0,1,Man City,1,"Fulham,
London, SW6
England","Etihad Campus
Manchester
M11 3FF"
158,158,158,https://www.skysports.com/football/manchester-united-vs-aston-villa/446345,"12:30pm, Saturday 25th September 2021.",Old Trafford,Man Utd,A Villa,0,1,A Villa,1,"Sir Matt Busby Way
Old Trafford
Trafford
Greater Manchester
England","Trinity Road, Birmingham B6 6HE"
159,159,159,https://www.skysports.com/football/everton-vs-norwich-city/446342,"3:00pm, Saturday 25th September 2021.",Goodison Park,Everton,Norwich,2,0,Everton,2,"Goodison Road
Walton, Liverpool, England","Goodison Road
Walton, Liverpool, England"
160,160,160,https://www.skysports.com/football/leeds-united-vs-west-ham-united/446343,"3:00pm, Saturday 25th September 2021.",Elland Road,Leeds,West Ham,1,2,West Ham,2,"Elland Road, Beeston, Leeds, England LS11 0ES","Queen Elizabeth Olympic Park, Stratford
London, E20"
161,161,161,https://www.skysports.com/football/leicester-city-vs-burnley/446344,"3:00pm, Saturday 25th September 2021.",The King Power Stadium,Leicester,Burnley,2,2,Burnley,2,"Filbert Way
Leicester
LE2 7FL","Burnley, Lancashire, England"
162,162,162,https://www.skysports.com/football/watford-vs-newcastle-united/446347,"3:00pm, Saturday 25th September 2021.",Vicarage Road,Watford,Newcastle,1,1,Newcastle,1,"Vicarage Road
Watford
WD18 0ER",Newcastle upon Tyne NE1 4ST
163,163,163,https://www.skysports.com/football/brentford-vs-liverpool/446339,"5:30pm, Saturday 25th September 2021.",Brentford Community Stadium,Brentford,Liverpool,3,3,Liverpool,3,"166 Lionel Road North, Brentford, London Borough of Hounslow, England, UK","Anfield, Liverpool, Merseyside, England"
164,164,164,https://www.skysports.com/football/brighton-and-hove-albion-vs-leicester-city/446329,"2:00pm, Sunday 19th September 2021.",Amex Stadium,Brighton,Leicester,2,1,Brighton,2,"Falmer, Brighton, East Sussex, England","Falmer, Brighton, East Sussex, England"
165,165,165,https://www.skysports.com/football/west-ham-united-vs-manchester-united/446336,"2:00pm, Sunday 19th September 2021.",London Stadium,West Ham,Man Utd,1,2,Man Utd,2,"Queen Elizabeth Olympic Park, Stratford
London, E20","Sir Matt Busby Way
Old Trafford
Trafford
Greater Manchester
England"
166,166,166,https://www.skysports.com/football/tottenham-hotspur-vs-chelsea/446335,"4:30pm, Sunday 19th September 2021.",Tottenham Hotspur Stadium,Tottenham,Chelsea,0,3,Chelsea,3,"Tottenham,
London, N17","Fulham,
London, SW6
England"
167,167,167,https://www.skysports.com/football/wolverhampton-wanderers-vs-brentford/446337,"12:30pm, Saturday 18th September 2021.",Molineux,Wolves,Brentford,0,2,Brentford,2,"Waterloo Road, Wolverhampton","166 Lionel Road North, Brentford, London Borough of Hounslow, England, UK"
168,168,168,https://www.skysports.com/football/burnley-vs-arsenal/446330,"3:00pm, Saturday 18th September 2021.",Turf Moor.,Burnley,Arsenal,0,1,Arsenal,1,"Burnley, Lancashire, England","Highbury House,
75 Drayton Park,
London, N5 1BU
England[1]"
169,169,169,https://www.skysports.com/football/liverpool-vs-crystal-palace/446331,"3:00pm, Saturday 18th September 2021.",Anfield,Liverpool,C Palace,3,0,Liverpool,3,"Anfield, Liverpool, Merseyside, England","Anfield, Liverpool, Merseyside, England"
170,170,170,https://www.skysports.com/football/manchester-city-vs-southampton/446332,"3:00pm, Saturday 18th September 2021.",Etihad Stadium,Man City,So'ton,0,0,So'ton,0,"Etihad Campus
Manchester
M11 3FF","Britannia Rd, Southampton, England"
171,171,171,https://www.skysports.com/football/norwich-city-vs-watford/446334,"3:00pm, Saturday 18th September 2021.",Carrow Road,Norwich,Watford,1,3,Watford,3,"Norwich, Norfolk, England","Vicarage Road
Watford
WD18 0ER"
172,172,172,https://www.skysports.com/football/aston-villa-vs-everton/446328,"5:30pm, Saturday 18th September 2021.",Villa Park,A Villa,Everton,3,0,A Villa,3,"Trinity Road, Birmingham B6 6HE","Trinity Road, Birmingham B6 6HE"
173,173,173,https://www.skysports.com/football/newcastle-united-vs-leeds-united/446333,"8:00pm, Friday 17th September 2021.","St James' Park, Newcastle",Newcastle,Leeds,1,1,Leeds,1,Newcastle upon Tyne NE1 4ST,"Elland Road, Beeston, Leeds, England LS11 0ES"
174,174,174,https://www.skysports.com/football/everton-vs-burnley/446322,"8:00pm, Monday 13th September 2021.",Goodison Park,Everton,Burnley,3,1,Everton,3,"Goodison Road
Walton, Liverpool, England","Goodison Road
Walton, Liverpool, England"
175,175,175,https://www.skysports.com/football/leeds-united-vs-liverpool/446323,"4:30pm, Sunday 12th September 2021.",Elland Road,Leeds,Liverpool,0,3,Liverpool,3,"Elland Road, Beeston, Leeds, England LS11 0ES","Anfield, Liverpool, Merseyside, England"
176,176,176,https://www.skysports.com/football/crystal-palace-vs-tottenham-hotspur/446321,"12:30pm, Saturday 11th September 2021.",Selhurst Park,C Palace,Tottenham,3,0,C Palace,3,"Selhurst
London, SE25
England","Selhurst
London, SE25
England"
177,177,177,https://www.skysports.com/football/arsenal-vs-norwich-city/446318,"3:00pm, Saturday 11th September 2021.",Emirates Stadium,Arsenal,Norwich,1,0,Arsenal,1,"Highbury House,
75 Drayton Park,
London, N5 1BU
England[1]","Highbury House,
75 Drayton Park,
London, N5 1BU
England[1]"
178,178,178,https://www.skysports.com/football/brentford-vs-brighton-and-hove-albion/446319,"3:00pm, Saturday 11th September 2021.",Brentford Community Stadium,Brentford,Brighton,0,1,Brighton,1,"166 Lionel Road North, Brentford, London Borough of Hounslow, England, UK","Falmer, Brighton, East Sussex, England"
179,179,179,https://www.skysports.com/football/leicester-city-vs-manchester-city/446324,"3:00pm, Saturday 11th September 2021.",The King Power Stadium,Leicester,Man City,0,1,Man City,1,"Filbert Way
Leicester
LE2 7FL","Etihad Campus
Manchester
M11 3FF"
180,180,180,https://www.skysports.com/football/manchester-united-vs-newcastle-united/446325,"3:00pm, Saturday 11th September 2021.",Old Trafford,Man Utd,Newcastle,4,1,Man Utd,4,"Sir Matt Busby Way
Old Trafford
Trafford
Greater Manchester
England","Sir Matt Busby Way
Old Trafford
Trafford
Greater Manchester
England"
181,181,181,https://www.skysports.com/football/southampton-vs-west-ham-united/446326,"3:00pm, Saturday 11th September 2021.",St. Mary's Stadium.,So'ton,West Ham,0,0,West Ham,0,"Britannia Rd, Southampton, England","Queen Elizabeth Olympic Park, Stratford
London, E20"
182,182,182,https://www.skysports.com/football/watford-vs-wolverhampton-wanderers/446327,"3:00pm, Saturday 11th September 2021.",Vicarage Road,Watford,Wolves,0,2,Wolves,2,"Vicarage Road
Watford
WD18 0ER","Waterloo Road, Wolverhampton"
183,183,183,https://www.skysports.com/football/chelsea-vs-aston-villa/446320,"5:30pm, Saturday 11th September 2021.",Stamford Bridge,Chelsea,A Villa,3,0,Chelsea,3,"Fulham,
London, SW6
England","Fulham,
London, SW6
England"
184,184,184,https://www.skysports.com/football/burnley-vs-leeds-united/446310,"2:00pm, Sunday 29th August 2021.",Turf Moor,Burnley,Leeds,1,1,Leeds,1,"Burnley, Lancashire, England","Elland Road, Beeston, Leeds, England LS11 0ES"
185,185,185,https://www.skysports.com/football/tottenham-hotspur-vs-watford/446315,"2:00pm, Sunday 29th August 2021.",Tottenham Hotspur Stadium,Tottenham,Watford,1,0,Tottenham,1,"Tottenham,
London, N17","Tottenham,
London, N17"
186,186,186,https://www.skysports.com/football/wolverhampton-wanderers-vs-manchester-united/446317,"4:30pm, Sunday 29th August 2021.",Molineux,Wolves,Man Utd,0,1,Man Utd,1,"Waterloo Road, Wolverhampton","Sir Matt Busby Way
Old Trafford
Trafford
Greater Manchester
England"
187,187,187,https://www.skysports.com/football/manchester-city-vs-arsenal/446312,"12:30pm, Saturday 28th August 2021.",Etihad Stadium,Man City,Arsenal,5,0,Man City,5,"Etihad Campus
Manchester
M11 3FF","Etihad Campus
Manchester
M11 3FF"
188,188,188,https://www.skysports.com/football/aston-villa-vs-brentford/446308,"3:00pm, Saturday 28th August 2021.",Villa Park,A Villa,Brentford,1,1,Brentford,1,"Trinity Road, Birmingham B6 6HE","166 Lionel Road North, Brentford, London Borough of Hounslow, England, UK"
189,189,189,https://www.skysports.com/football/brighton-and-hove-albion-vs-everton/446309,"3:00pm, Saturday 28th August 2021.",Amex Stadium,Brighton,Everton,0,2,Everton,2,"Falmer, Brighton, East Sussex, England","Goodison Road
Walton, Liverpool, England"
190,190,190,https://www.skysports.com/football/newcastle-united-vs-southampton/446313,"3:00pm, Saturday 28th August 2021.","St James' Park, Newcastle",Newcastle,So'ton,2,2,So'ton,2,Newcastle upon Tyne NE1 4ST,"Britannia Rd, Southampton, England"
191,191,191,https://www.skysports.com/football/norwich-city-vs-leicester-city/446314,"3:00pm, Saturday 28th August 2021.",Carrow Road,Norwich,Leicester,1,2,Leicester,2,"Norwich, Norfolk, England",
192,192,192,https://www.skysports.com/football/west-ham-united-vs-crystal-palace/446316,"3:00pm, Saturday 28th August 2021.",London Stadium,West Ham,C Palace,2,2,C Palace,2,"Queen Elizabeth Olympic Park, Stratford
London, E20","Selhurst
London, SE25
England"
193,193,193,https://www.skysports.com/football/liverpool-vs-chelsea/446311,"5:30pm, Saturday 28th August 2021.",Anfield.,Liverpool,Chelsea,1,1,Chelsea,1,"Anfield, Liverpool, Merseyside, England","Fulham,
London, SW6
England"
194,194,194,https://www.skysports.com/football/west-ham-united-vs-leicester-city/446306,"8:00pm, Monday 23rd August 2021.",London Stadium,West Ham,Leicester,4,1,West Ham,4,"Queen Elizabeth Olympic Park, Stratford
London, E20","Queen Elizabeth Olympic Park, Stratford
London, E20"
195,195,195,https://www.skysports.com/football/southampton-vs-manchester-united/446305,"2:00pm, Sunday 22nd August 2021.",St. Mary's Stadium,So'ton,Man Utd,1,1,Man Utd,1,"Britannia Rd, Southampton, England","Sir Matt Busby Way
Old Trafford
Trafford
Greater Manchester
England"
196,196,196,https://www.skysports.com/football/wolverhampton-wanderers-vs-tottenham-hotspur/446307,"2:00pm, Sunday 22nd August 2021.",Molineux,Wolves,Tottenham,0,1,Tottenham,1,"Waterloo Road, Wolverhampton","Tottenham,
London, N17"
197,197,197,https://www.skysports.com/football/arsenal-vs-chelsea/446298,"4:30pm, Sunday 22nd August 2021.",Emirates Stadium,Arsenal,Chelsea,0,2,Chelsea,2,"Highbury House,
75 Drayton Park,
London, N5 1BU
England[1]","Fulham,
London, SW6
England"
198,198,198,https://www.skysports.com/football/liverpool-vs-burnley/446303,"12:30pm, Saturday 21st August 2021.",Anfield,Liverpool,Burnley,2,0,Liverpool,2,"Anfield, Liverpool, Merseyside, England","Anfield, Liverpool, Merseyside, England"
199,199,199,https://www.skysports.com/football/aston-villa-vs-newcastle-united/446299,"3:00pm, Saturday 21st August 2021.",Villa Park,A Villa,Newcastle,2,0,A Villa,2,"Trinity Road, Birmingham B6 6HE","Trinity Road, Birmingham B6 6HE"
200,200,200,https://www.skysports.com/football/crystal-palace-vs-brentford/446301,"3:00pm, Saturday 21st August 2021.",Selhurst Park,C Palace,Brentford,0,0,Brentford,0,"Selhurst
London, SE25
England","166 Lionel Road North, Brentford, London Borough of Hounslow, England, UK"
201,201,201,https://www.skysports.com/football/leeds-united-vs-everton/446302,"3:00pm, Saturday 21st August 2021.",Elland Road,Leeds,Everton,2,2,Everton,2,"Elland Road, Beeston, Leeds, England LS11 0ES","Goodison Road
Walton, Liverpool, England"
202,202,202,https://www.skysports.com/football/manchester-city-vs-norwich-city/446304,"3:00pm, Saturday 21st August 2021.",Etihad Stadium,Man City,Norwich,5,0,Man City,5,"Etihad Campus
Manchester
M11 3FF","Etihad Campus
Manchester
M11 3FF"
203,203,203,https://www.skysports.com/football/brighton-and-hove-albion-vs-watford/446300,"5:30pm, Saturday 21st August 2021.",Amex Stadium,Brighton,Watford,2,0,Brighton,2,"Falmer, Brighton, East Sussex, England","Falmer, Brighton, East Sussex, England"
204,204,204,https://www.skysports.com/football/newcastle-united-vs-west-ham-united/446294,"2:00pm, Sunday 15th August 2021.","St James' Park, Newcastle",Newcastle,West Ham,2,4,West Ham,4,Newcastle upon Tyne NE1 4ST,"Queen Elizabeth Olympic Park, Stratford
London, E20"
205,205,205,https://www.skysports.com/football/tottenham-hotspur-vs-manchester-city/446296,"4:30pm, Sunday 15th August 2021.",Tottenham Hotspur Stadium,Tottenham,Man City,1,0,Tottenham,1,"Tottenham,
London, N17","Tottenham,
London, N17"
206,206,206,https://www.skysports.com/football/manchester-united-vs-leeds-united/446293,"12:30pm, Saturday 14th August 2021.",Old Trafford,Man Utd,Leeds,5,1,Man Utd,5,"Sir Matt Busby Way
Old Trafford
Trafford
Greater Manchester
England","Sir Matt Busby Way
Old Trafford
Trafford
Greater Manchester
England"
207,207,207,https://www.skysports.com/football/burnley-vs-brighton-and-hove-albion/446289,"3:00pm, Saturday 14th August 2021.",Turf Moor,Burnley,Brighton,1,2,Brighton,2,"Burnley, Lancashire, England","Falmer, Brighton, East Sussex, England"
208,208,208,https://www.skysports.com/football/chelsea-vs-crystal-palace/446290,"3:00pm, Saturday 14th August 2021.",Stamford Bridge,Chelsea,C Palace,3,0,Chelsea,3,"Fulham,
London, SW6
England","Fulham,
London, SW6
England"
209,209,209,https://www.skysports.com/football/everton-vs-southampton/446291,"3:00pm, Saturday 14th August 2021.",Goodison Park,Everton,So'ton,3,1,Everton,3,"Goodison Road
Walton, Liverpool, England","Goodison Road
Walton, Liverpool, England"
210,210,210,https://www.skysports.com/football/leicester-city-vs-wolverhampton-wanderers/446292,"3:00pm, Saturday 14th August 2021.",The King Power Stadium,Leicester,Wolves,1,0,Leicester,1,"Filbert Way
Leicester
LE2 7FL",
211,211,211,https://www.skysports.com/football/watford-vs-aston-villa/446297,"3:00pm, Saturday 14th August 2021.",Vicarage Road,Watford,A Villa,3,2,Watford,3,"Vicarage Road
Watford
WD18 0ER","Vicarage Road
Watford
WD18 0ER"
212,212,212,https://www.skysports.com/football/norwich-city-vs-liverpool/446295,"5:30pm, Saturday 14th August 2021.",Carrow Road,Norwich,Liverpool,0,3,Liverpool,3,"Norwich, Norfolk, England","Anfield, Liverpool, Merseyside, England"
213,213,213,https://www.skysports.com/football/brentford-vs-arsenal/446288,"8:00pm, Friday 13th August 2021.",Brentford Community Stadium,Brentford,Arsenal,2,0,Brentford,2,"166 Lionel Road North, Brentford, London Borough of Hounslow, England, UK","166 Lionel Road North, Brentford, London Borough of Hounslow, England, UK"
